from_position,to_position,distance
B002-02-1,B002-0W-1,4.41522
B002-02-1,B002-0X-1,3.57273
B002-02-1,B002-0Y-1,3.30581
B002-02-1,B002-0Z-1,1.74719
B002-02-1,B003-0B-1,15.195
B002-02-1,B003-0D-1,17.3195
B002-02-1,B003-0F-1,19.3876
B002-02-1,B003-0G-1,21.9002
B002-02-1,B003-0H-1,21.3332
B002-02-1,B003-0I-1,23.755
B002-02-1,B003-0J-1,23.1624
B002-02-1,B003-0K-1,25.775
B002-02-1,B003-0L-1,25.2895
B002-02-1,B003-0M-1,27.5516
B002-02-1,B003-0N-1,27.5237
B002-02-1,B003-0O-1,29.567
B002-02-1,B003-0P-1,29.3697
B002-02-1,B003-0Q-1,31.348
B002-02-1,B003-0R-1,31.427
B002-02-1,B003-0S-1,33.4478
B002-02-1,B003-0T-1,33.5027
B002-02-1,B003-0U-1,35.1599
B002-02-1,B003-0V-1,35.4242
B002-02-1,B003-0W-1,37.2053
B002-02-1,B003-0X-1,37.5317
B002-02-1,B003-0Y-1,39.1457
B002-02-1,B003-0Z-1,38.6529
B002-02-1,B00A-0A-1,122.853
B002-02-1,B00A-0B-1,124.513
B002-02-1,B00A-0C-1,125.138
B002-02-1,B00A-0D-1,126.086
B002-02-1,B00A-0E-1,127.443
B002-02-1,B00A-0F-1,128.133
B002-02-1,B00A-0G-1,129.593
B002-02-1,B00A-0H-1,130.229
B002-02-1,B00A-0I-1,131.967
B002-02-1,B00A-0J-1,132.587
B002-02-1,B00A-0K-1,134.392
B002-02-1,B00A-0L-1,134.838
B002-02-1,B00A-0M-1,136.585
B002-02-1,B00A-0N-1,137.032
B002-02-1,B00A-0O-1,138.715
B002-02-1,B00A-0P-1,139.131
B002-02-1,B00A-0Q-1,141.022
B002-02-1,B00A-0R-1,141.328
B002-02-1,B00A-0S-1,143.388
B002-02-1,B00A-0T-1,143.785
B002-02-1,B00B-0A-1,145.679
B002-02-1,B00B-0B-1,147.888
B002-02-1,B00B-0C-1,148.063
B002-02-1,B00B-0D-1,149.247
B002-02-1,B00B-0E-1,150.109
B002-02-1,B00B-0F-1,150.795
B002-02-1,B00B-0G-1,152.4
B002-02-1,B00B-0H-1,152.941
B002-02-1,B00B-0I-1,154.725
B002-02-1,B00B-0J-1,155.244
B002-02-1,B00B-0K-1,156.897
B002-02-1,B00B-0L-1,157.319
B002-02-1,B00B-0M-1,159.089
B002-02-1,B00B-0N-1,159.592
B002-02-1,B00B-0O-1,161.319
B002-02-1,B00B-0P-1,161.834
B002-02-1,B00B-0Q-1,163.506
B002-02-1,B00B-0R-1,163.945
B002-02-1,B00B-0S-1,165.699
B002-02-1,B00B-0T-1,166.142
B002-02-1,B00B-0U-1,167.908
B002-02-1,B00B-0V-1,168.441
B002-02-1,B00C-0A-1,172.676
B002-02-1,B00C-0B-1,173.584
B002-02-1,B00C-0C-1,174.897
B002-02-1,B00C-0D-1,175.754
B002-02-1,B00C-0E-1,177.188
B002-02-1,B00C-0F-1,177.809
B002-02-1,B00C-0G-1,179.221
B002-02-1,B00C-0H-1,179.785
B002-02-1,B00C-0I-1,181.305
B002-02-1,B00C-0J-1,181.892
B002-02-1,B00C-0K-1,183.24
B002-02-1,B00C-0L-1,183.861
B002-02-1,B00C-0M-1,185.286
B002-02-1,B00C-0N-1,185.767
B002-02-1,B00C-0O-1,187.498
B002-02-1,B00C-0P-1,187.946
B002-02-1,B00C-0Q-1,189.491
B002-02-1,B00C-0R-1,189.951
B002-02-1,B00C-0S-1,191.444
B002-02-1,B00C-0T-1,191.974
B002-02-1,B00C-0U-1,193.536
B002-02-1,B00C-0V-1,193.997
B002-02-1,B00D-0A-1,177.836
B002-02-1,B00D-0B-1,178.445
B002-02-1,B00D-0C-1,175.732
B002-02-1,B00D-0D-1,176.342
B002-02-1,B00D-0E-1,173.606
B002-02-1,B00D-0F-1,174.305
B002-02-1,B00D-0G-1,171.667
B002-02-1,B00D-0H-1,172.286
B002-02-1,B00D-0I-1,169.549
B002-02-1,B00D-0J-1,170.214
B002-02-1,B00D-0K-1,167.593
B002-02-1,B00D-0L-1,168.097
B002-02-1,B00D-0M-1,165.593
B002-02-1,B00D-0N-1,166.057
B002-02-1,B00D-0O-1,163.588
B002-02-1,B00D-0P-1,164.072
B002-02-1,B00D-0Q-1,161.4
B002-02-1,B00D-0R-1,161.987
B002-02-1,B00D-0S-1,159.447
B002-02-1,B00D-0T-1,159.929
B002-02-1,B00D-0U-1,157.334
B002-02-1,B00D-0V-1,157.741
B002-02-1,B00E-0A-1,152.006
B002-02-1,B00E-0B-1,152.386
B002-02-1,B00E-0C-1,149.732
B002-02-1,B00E-0D-1,150.064
B002-02-1,B00E-0E-1,147.536
B002-02-1,B00E-0F-1,147.793
B002-02-1,B00E-0G-1,145.374
B002-02-1,B00E-0H-1,145.66
B002-02-1,B00E-0I-1,143.097
B002-02-1,B00E-0J-1,143.337
B002-02-1,B00E-0K-1,141.069
B002-02-1,B00E-0L-1,141.152
B002-02-1,B00E-0M-1,138.712
B002-02-1,B00E-0N-1,138.923
B002-02-1,B00E-0O-1,136.504
B002-02-1,B00E-0P-1,136.727
B002-02-1,B00E-0Q-1,134.376
B002-02-1,B00E-0R-1,134.417
B002-02-1,B00E-0S-1,132.117
B002-02-1,B00E-0T-1,132.081
B002-02-1,B00E-0U-1,130.051
B002-02-1,B00E-0V-1,129.897
B002-02-1,B00F-0A-1,124.434
B002-02-1,B00F-0B-1,124.333
B002-02-1,B00F-0C-1,121.909
B002-02-1,B00F-0D-1,121.759
B002-02-1,B00F-0E-1,119.694
B002-02-1,B00F-0F-1,119.481
B002-02-1,B00F-0G-1,117.605
B002-02-1,B00F-0H-1,117.343
B002-02-1,B00F-0I-1,115.36
B002-02-1,B00F-0J-1,115.061
B002-02-1,B00F-0K-1,113.033
B002-02-1,B00F-0L-1,112.478
B002-02-1,B00F-0M-1,110.854
B002-02-1,B00F-0N-1,110.213
B002-02-1,B00F-0O-1,108.631
B002-02-1,B00F-0P-1,107.898
B002-02-1,B00F-0Q-1,106.952
B002-02-1,B00F-0R-1,105.755
B002-02-1,B00F-0S-1,105.184
B002-02-1,B00F-0T-1,103.506
B002-02-1,B00G-0A-1,107.909
B002-02-1,B00G-0B-1,106.038
B002-02-1,B00G-0C-1,109.528
B002-02-1,B00G-0D-1,108.285
B002-02-1,B00G-0E-1,111.517
B002-02-1,B00G-0F-1,110.662
B002-02-1,B00G-0G-1,113.527
B002-02-1,B00G-0H-1,112.899
B002-02-1,B00G-0I-1,115.705
B002-02-1,B00G-0J-1,115.15
B002-02-1,B00G-0K-1,117.733
B002-02-1,B00G-0L-1,117.619
B002-02-1,B00G-0M-1,119.823
B002-02-1,B00G-0N-1,119.739
B002-02-1,B00G-0O-1,122.198
B002-02-1,B00G-0P-1,122.043
B002-02-1,B00G-0Q-1,124.432
B002-02-1,B00G-0R-1,124.176
B002-02-1,B00G-0S-1,126.823
B002-02-1,B00G-0T-1,126.569
B002-02-1,B00H-0A-1,132.985
B002-02-1,B00H-0B-1,132.924
B002-02-1,B00H-0E-1,136.515
B002-02-1,B00H-0F-1,136.226
B002-02-1,B00H-0G-1,140.287
B002-02-1,B00H-0H-1,139.945
B002-02-1,B00H-0I-1,143.701
B002-02-1,B00H-0J-1,143.288
B002-02-1,B00H-0K-1,147.117
B002-02-1,B00H-0L-1,146.817
B002-02-1,B00H-0M-1,150.402
B002-02-1,B00H-0N-1,150.13
B002-02-1,B00H-0O-1,153.886
B002-02-1,B00H-0P-1,153.513
B002-02-1,B00I-0A-1,180.544
B002-02-1,B00I-0B-1,180.382
B002-02-1,B00I-0C-1,178.468
B002-02-1,B00I-0D-1,178.282
B002-02-1,B00I-0E-1,176.345
B002-02-1,B00I-0F-1,176.143
B002-02-1,B00I-0G-1,174.293
B002-02-1,B00I-0H-1,174.113
B002-02-1,B00I-0I-1,172.333
B002-02-1,B00I-0J-1,172.066
B002-02-1,B00I-0K-1,170.315
B002-02-1,B00I-0L-1,170.069
B002-02-1,B00I-0M-1,168.262
B002-02-1,B00I-0N-1,168.067
B002-02-1,B00I-0O-1,166.3
B002-02-1,B00I-0P-1,165.993
B002-02-1,B00I-0Q-1,164.077
B002-02-1,B00I-0R-1,164.096
B002-02-1,B00I-0S-1,161.923
B002-02-1,B00I-0T-1,161.886
B002-02-1,B00I-0U-1,159.947
B002-02-1,B00I-0V-1,159.734
B002-02-1,B00J-0A-1,197.046
B002-02-1,B00J-0B-1,196.805
B002-02-1,B00J-0C-1,194.897
B002-02-1,B00J-0D-1,194.589
B002-02-1,B00J-0E-1,192.885
B002-02-1,B00J-0F-1,192.605
B002-02-1,B00J-0G-1,190.831
B002-02-1,B00J-0H-1,190.517
B002-02-1,B00J-0I-1,188.845
B002-02-1,B00J-0J-1,188.517
B002-02-1,B00J-0K-1,186.893
B002-02-1,B00J-0L-1,186.429
B002-02-1,B00J-0M-1,184.889
B002-02-1,B00J-0N-1,184.392
B002-02-1,B00J-0O-1,183.075
B002-02-1,B00J-0P-1,182.473
B002-02-1,B00J-0Q-1,180.738
B002-02-1,B00J-0R-1,180.486
B002-02-1,B00J-0S-1,178.693
B002-02-1,B00J-0T-1,178.238
B002-02-1,B00J-0U-1,176.568
B002-02-1,B00J-0V-1,176.219
B002-02-1,B00K-0A-1,170.815
B002-02-1,B00K-0B-1,170.533
B002-02-1,B00K-0C-1,167.719
B002-02-1,B00K-0D-1,167.351
B002-02-1,B00K-0E-1,164.438
B002-02-1,B00K-0F-1,164.36
B002-02-1,B00K-0G-1,161.526
B002-02-1,B00K-0H-1,161.477
B002-02-1,B00K-0I-1,158.458
B002-02-1,B00K-0J-1,158.532
B002-02-1,B00K-0K-1,155.742
B002-02-1,B00K-0L-1,155.463
B002-02-1,B00K-0M-1,153.152
B002-02-1,B00K-0N-1,152.276
B002-02-1,B00K-0O-1,151.275
B002-02-1,B00K-0P-1,149.302
B002-02-1,B00L-0A-1,146.28
B002-02-1,B00L-0B-1,146.537
B002-02-1,B00L-0C-1,143.843
B002-02-1,B00L-0D-1,144.27
B002-02-1,B00L-0E-1,141.624
B002-02-1,B00L-0F-1,141.929
B002-02-1,B00L-0G-1,139.581
B002-02-1,B00L-0H-1,139.812
B002-02-1,B00L-0I-1,137.279
B002-02-1,B00L-0J-1,137.543
B002-02-1,B00L-0K-1,134.931
B002-02-1,B00L-0L-1,135.413
B002-02-1,B00L-0M-1,132.814
B002-02-1,B00L-0N-1,133.368
B002-02-1,B00L-0O-1,130.602
B002-02-1,B00L-0P-1,131.316
B002-02-1,B00L-0Q-1,128.23
B002-02-1,B00L-0R-1,129.488
B002-02-1,B00L-0S-1,125.957
B002-02-1,B00L-0T-1,128.233
B002-02-1,B00M-0A-1,215.612
B002-02-1,B00M-0B-1,213.383
B002-02-1,B00M-0C-1,211.379
B002-02-1,B00M-0D-1,209.458
B002-02-1,B00M-0E-1,207.503
B002-02-1,B00M-0F-1,205.234
B002-02-1,B00M-0G-1,203.328
B002-02-1,B00M-0H-1,201.344
B002-02-1,B00M-0I-1,199.185
B002-02-1,B00M-0J-1,197.051
B002-02-1,B00M-0K-1,194.899
B002-02-1,B00N-0A-1,192.816
B002-02-1,B00N-0B-1,190.669
B002-02-1,B00N-0C-1,188.64
B002-02-1,B00N-0D-1,186.491
B002-02-1,B00N-0E-1,184.632
B002-02-1,B00N-0F-1,182.7
B002-02-1,B00N-0G-1,180.487
B002-02-1,B00N-0H-1,178.54
B002-02-1,B00N-0I-1,176.567
B002-02-1,B00N-0J-1,174.661
B002-02-1,B00N-0K-1,172.606
B002-02-1,B00N-0L-1,170.41
B002-02-1,B00O-0A-1,170
B002-02-1,B00O-0B-1,167.799
B002-02-1,B00O-0C-1,165.443
B002-02-1,B00O-0D-1,163.393
B002-02-1,B00O-0E-1,161.065
B002-02-1,B00O-0F-1,158.927
B002-02-1,B00O-0G-1,156.637
B002-02-1,B00O-0H-1,154.39
B002-02-1,B00O-0I-1,152.165
B002-02-1,B00O-0J-1,149.825
B002-02-1,B00P-0A-1,150.697
B002-02-1,B00P-0B-1,146.741
B002-02-1,B00P-0C-1,142.641
B002-02-1,B00P-0D-1,138.57
B002-02-1,B00P-0E-1,134.477
B002-02-1,B00Q-0C-1,113.961
B002-02-1,B00Q-0D-1,109.57
B002-02-1,B00Q-0E-1,105.661
B002-02-1,B00Q-0F-1,101.665
B002-02-1,Q001,122.033
B002-02-1,Q002,101.528
B002-02-1,Q003,104.402
B002-02-1,Q004,149.523
B002-02-1,Q005,62.5811
B002-02-1,Q006,89.6477
B002-0A-1,B002-0B-1,3.21949
B002-0A-1,B002-0C-1,1.96533
B002-0A-1,B002-0D-1,3.64377
B002-0A-1,B002-0E-1,3.86039
