from_position,to_position,distance
A2FH001,A2FH0010,20.3886
A2FH001,A2FH0011,23.4001
A2FH001,A2FH0012,25.1342
A2FH001,A2FH0013,27.7621
A2FH001,A2FH0014,29.3442
A2FH001,A2FH0015,31.8913
A2FH001,A2FH0016,44.8238
A2FH001,A2FH0017,47.2473
A2FH001,A2FH0018,48.6471
A2FH001,A2FH0019,51.8982
A2FH001,A2FH002,2.24221
A2FH001,A2FH003,5.1708
A2FH001,A2FH0030,75.8646
A2FH001,A2FH004,7.19975
A2FH001,A2FH005,9.61755
A2FH001,A2FH006,11.6006
A2FH001,A2FH007,14.1153
A2FH001,A2FH008,16.0001
A2FH001,A2FH009,18.7978
A2FH001,A2FH020,53.522
A2FH001,A2FH021,56.3025
A2FH001,A2FH022,58.0403
A2FH001,A2FH023,60.7932
A2FH001,A2FH024,62.4201
A2FH001,A2FH025,65.3493
A2FH001,A2FH026,66.728
A2FH001,A2FH027,69.8402
A2FH001,A2FH028,71.4682
A2FH001,A2FH029,74.3041
A2FH001,B001-0B-1,73.43
A2FH001,B001-0D-1,75.5053
A2FH001,B001-0F-1,77.623
A2FH001,B001-0H-1,79.5167
A2FH001,B001-0J-1,81.6542
A2FH001,B001-0L-1,83.7764
A2FH001,B001-0N-1,85.7659
A2FH001,B001-0P-1,87.8179
A2FH001,B001-0R-1,89.7333
A2FH001,B002-01-1,127.49
A2FH001,B002-02-1,127.423
A2FH001,B002-0A-1,103.795
A2FH001,B002-0B-1,103.025
A2FH001,B002-0C-1,105.448
A2FH001,B002-0D-1,104.928
A2FH001,B002-0E-1,107.339
A2FH001,B002-0F-1,106.895
A2FH001,B002-0G-1,109.227
A2FH001,B002-0H-1,108.73
A2FH001,B002-0I-1,111.177
A2FH001,B002-0J-1,110.557
A2FH001,B002-0K-1,112.996
A2FH001,B002-0L-1,112.381
A2FH001,B002-0M-1,114.638
A2FH001,B002-0N-1,114.496
A2FH001,B002-0O-1,116.464
A2FH001,B002-0P-1,116.422
A2FH001,B002-0Q-1,118.336
A2FH001,B002-0R-1,118.212
A2FH001,B002-0S-1,120.228
A2FH001,B002-0T-1,120.231
A2FH001,B002-0U-1,121.878
A2FH001,B002-0V-1,121.981
A2FH001,B002-0W-1,123.959
A2FH001,B002-0X-1,123.932
A2FH001,B002-0Y-1,125.683
A2FH001,B002-0Z-1,125.834
A2FH001,B003-0B-1,120.279
A2FH001,B003-0D-1,118.326
A2FH001,B003-0F-1,116.26
A2FH001,B003-0G-1,114.494
A2FH001,B003-0H-1,114.445
A2FH001,B003-0I-1,112.458
A2FH001,B003-0J-1,112.687
A2FH001,B003-0K-1,110.424
A2FH001,B003-0L-1,110.562
A2FH001,B003-0M-1,108.397
A2FH001,B003-0N-1,108.508
A2FH001,B003-0O-1,106.31
A2FH001,B003-0P-1,106.646
A2FH001,B003-0Q-1,104.44
A2FH001,B003-0R-1,104.717
A2FH001,B003-0S-1,102.305
A2FH001,B003-0T-1,102.73
A2FH001,B003-0U-1,100.427
A2FH001,B003-0V-1,100.912
A2FH001,B003-0W-1,98.3423
A2FH001,B003-0X-1,99.6006
A2FH001,B003-0Y-1,96.3159
A2FH001,B003-0Z-1,98.4702
A2FH001,B00A-0A-1,10.0731
A2FH001,B00A-0B-1,8.51025
A2FH001,B00A-0C-1,11.8764
A2FH001,B00A-0D-1,10.8334
A2FH001,B00A-0E-1,13.9155
A2FH001,B00A-0F-1,13.2265
A2FH001,B00A-0G-1,15.8709
A2FH001,B00A-0H-1,15.4142
A2FH001,B00A-0I-1,18.1317
