position_type,position_code,position_x,position_y
recheckstage,A2FH001,83.6971,97.6051
recheckstage,A2FH0010,84.7367,77.2495
recheckstage,A2FH0011,84.595,74.2326
recheckstage,A2FH0012,84.739,72.5048
recheckstage,A2FH0013,84.8134,69.8783
recheckstage,A2FH0014,84.8134,68.2951
recheckstage,A2FH0015,85.142,65.8178
recheckstage,A2FH0016,91.398,66.2133
recheckstage,A2FH0017,91.0383,68.7629
recheckstage,A2FH0018,91.0023,70.1662
recheckstage,A2FH0019,90.6059,73.4129
recheckstage,A2FH002,83.7936,95.433
recheckstage,A2FH003,83.8872,92.4428
recheckstage,A2FH0030,89.2704,97.3389
recheckstage,A2FH004,83.9354,90.4147
recheckstage,A2FH005,84.032,88.0003
recheckstage,A2FH006,84.1769,86.0205
recheckstage,A2FH007,84.2735,83.5095
recheckstage,A2FH008,84.37,81.6263
recheckstage,A2FH009,84.5567,78.834
recheckstage,A2FH020,90.5333,75.0343
recheckstage,A2FH021,90.2808,77.8099
recheckstage,A2FH022,90.2803,79.5422
recheckstage,A2FH023,89.9909,82.2891
recheckstage,A2FH024,89.9904,83.9168
recheckstage,A2FH025,89.9177,86.8455
recheckstage,A2FH026,89.8449,88.2234
recheckstage,A2FH027,89.6699,91.3254
recheckstage,A2FH028,89.5614,92.9523
recheckstage,A2FH029,89.1263,95.7791
roadway,B001-0B-1,101.729,92.0746
roadway,B001-0D-1,103.809,92.2496
roadway,B001-0F-1,105.908,92.4051
roadway,B001-0H-1,107.774,92.5608
roadway,B001-0J-1,109.866,92.7747
roadway,B001-0L-1,111.952,92.9896
roadway,B001-0N-1,113.947,93.0074
roadway,B001-0P-1,115.994,93.1641
roadway,B001-0R-1,117.907,93.2238
roadway,B002-01-1,154.671,98.047
roadway,B002-02-1,154.848,95.2699
roadway,B002-0A-1,131.015,96.8359
roadway,B002-0B-1,131.129,93.621
roadway,B002-0C-1,132.808,96.9667
roadway,B002-0D-1,133.007,93.8073
roadway,B002-0E-1,134.688,97.0407
roadway,B002-0F-1,134.83,93.7937
roadway,B002-0G-1,136.57,97.1442
roadway,B002-0H-1,136.794,93.9241
roadway,B002-0I-1,138.54,97.1952
roadway,B002-0J-1,138.597,94.1257
roadway,B002-0K-1,140.311,97.2568
roadway,B002-0L-1,140.397,94.2523
roadway,B002-0M-1,141.967,97.328
roadway,B002-0N-1,142.169,94.3175
roadway,B002-0O-1,143.783,97.3982
roadway,B002-0P-1,144.042,94.3228
roadway,B002-0Q-1,145.579,97.6059
roadway,B002-0R-1,145.751,94.581
roadway,B002-0S-1,147.37,97.7623
roadway,B002-0T-1,147.712,94.7011
roadway,B002-0U-1,149.108,97.762
roadway,B002-0V-1,149.458,94.9085
roadway,B002-0W-1,151.185,97.7344
roadway,B002-0X-1,151.301,94.9862
roadway,B002-0Y-1,152.879,97.9158
roadway,B002-0Z-1,153.114,95.0741
roadway,B003-0B-1,155.526,81.6586
roadway,B003-0D-1,153.427,81.4973
roadway,B003-0F-1,151.384,81.3202
roadway,B003-0G-1,149.63,78.44
roadway,B003-0H-1,149.497,81.5515
roadway,B003-0I-1,147.636,78.3317
roadway,B003-0J-1,147.691,81.4264
roadway,B003-0K-1,145.588,78.0956
roadway,B003-0L-1,145.561,81.3262
roadway,B003-0M-1,143.735,78.1181
roadway,B003-0N-1,143.511,81.2223
