from_position,to_position,distance
B002-02-2,B002-0W-1,11.9152
B002-02-2,B002-0W-2,19.4152
B002-02-1,B002-0W-2,11.9152
B002-02-1,B002-0W-1,4.41522
B002-02-2,B002-0X-1,11.0727
B002-02-2,B002-0X-2,18.5727
B002-02-1,B002-0X-2,11.0727
B002-02-1,B002-0X-1,3.57273
B002-02-2,B002-0Y-1,10.8058
B002-02-2,B002-0Y-2,18.3058
B002-02-1,B002-0Y-2,10.8058
B002-02-1,B002-0Y-1,3.30581
B002-02-2,B002-0Z-1,9.24719
B002-02-2,B002-0Z-2,16.7472
B002-02-1,B002-0Z-2,9.24719
B002-02-1,B002-0Z-1,1.74719
B002-02-2,B003-0B-1,22.695
B002-02-2,B003-0B-2,30.195
B002-02-1,B003-0B-2,22.695
B002-02-1,B003-0B-1,15.195
B002-02-2,B003-0D-1,24.8195
B002-02-2,B003-0D-2,32.3195
B002-02-1,B003-0D-2,24.8195
B002-02-1,B003-0D-1,17.3195
B002-02-2,B003-0F-1,26.8876
B002-02-2,B003-0F-2,34.3876
B002-02-1,B003-0F-2,26.8876
B002-02-1,B003-0F-1,19.3876
B002-02-2,B003-0G-1,29.4002
B002-02-2,B003-0G-2,36.9002
B002-02-1,B003-0G-2,29.4002
B002-02-1,B003-0G-1,21.9002
B002-02-2,B003-0H-1,28.8332
B002-02-2,B003-0H-2,36.3332
B002-02-1,B003-0H-2,28.8332
B002-02-1,B003-0H-1,21.3332
B002-02-2,B003-0I-1,31.255
B002-02-2,B003-0I-2,38.755
B002-02-1,B003-0I-2,31.255
B002-02-1,B003-0I-1,23.755
B002-02-2,B003-0J-1,30.6624
B002-02-2,B003-0J-2,38.1624
B002-02-1,B003-0J-2,30.6624
B002-02-1,B003-0J-1,23.1624
B002-02-2,B003-0K-1,33.275
B002-02-2,B003-0K-2,40.775
B002-02-1,B003-0K-2,33.275
B002-02-1,B003-0K-1,25.775
B002-02-2,B003-0L-1,32.7895
B002-02-2,B003-0L-2,40.2895
B002-02-1,B003-0L-2,32.7895
B002-02-1,B003-0L-1,25.2895
B002-02-2,B003-0M-1,35.0516
B002-02-2,B003-0M-2,42.5516
B002-02-1,B003-0M-2,35.0516
B002-02-1,B003-0M-1,27.5516
B002-02-2,B003-0N-1,35.0237
B002-02-2,B003-0N-2,42.5237
B002-02-1,B003-0N-2,35.0237
B002-02-1,B003-0N-1,27.5237
B002-02-2,B003-0O-1,37.067
B002-02-2,B003-0O-2,44.567
B002-02-1,B003-0O-2,37.067
B002-02-1,B003-0O-1,29.567
B002-02-2,B003-0P-1,36.8697
B002-02-2,B003-0P-2,44.3697
B002-02-1,B003-0P-2,36.8697
B002-02-1,B003-0P-1,29.3697
B002-02-2,B003-0Q-1,38.848
B002-02-2,B003-0Q-2,46.348
B002-02-1,B003-0Q-2,38.848
B002-02-1,B003-0Q-1,31.348
B002-02-2,B003-0R-1,38.927
B002-02-2,B003-0R-2,46.427
B002-02-1,B003-0R-2,38.927
B002-02-1,B003-0R-1,31.427
B002-02-2,B003-0S-1,40.9478
B002-02-2,B003-0S-2,48.4478
B002-02-1,B003-0S-2,40.9478
B002-02-1,B003-0S-1,33.4478
