from_position,to_position,distance
B00C-0H-2,B00I-0E-1,70.6279
B00C-0H-2,B00I-0E-2,78.1279
B00C-0H-1,B00I-0E-2,70.6279
B00C-0H-1,B00I-0E-1,63.1279
B00C-0H-2,B00I-0F-1,69.8284
B00C-0H-2,B00I-0F-2,77.3284
B00C-0H-1,B00I-0F-2,69.8284
B00C-0H-1,B00I-0F-1,62.3284
B00C-0H-2,B00I-0G-1,72.3571
B00C-0H-2,B00I-0G-2,79.8571
B00C-0H-1,B00I-0G-2,72.3571
B00C-0H-1,B00I-0G-1,64.8571
B00C-0H-2,B00I-0H-1,71.8487
B00C-0H-2,B00I-0H-2,79.3487
B00C-0H-1,B00I-0H-2,71.8487
B00C-0H-1,B00I-0H-1,64.3487
B00C-0H-2,B00I-0I-1,70.4325
B00C-0H-2,B00I-0I-2,77.9325
B00C-0H-1,B00I-0I-2,70.4325
B00C-0H-1,B00I-0I-1,62.9325
B00C-0H-2,B00I-0J-1,70.0588
B00C-0H-2,B00I-0J-2,77.5588
B00C-0H-1,B00I-0J-2,70.0588
B00C-0H-1,B00I-0J-1,62.5588
B00C-0H-2,B00I-0K-1,68.4561
B00C-0H-2,B00I-0K-2,75.9561
B00C-0H-1,B00I-0K-2,68.4561
B00C-0H-1,B00I-0K-1,60.9561
B00C-0H-2,B00I-0L-1,68.0753
B00C-0H-2,B00I-0L-2,75.5753
B00C-0H-1,B00I-0L-2,68.0753
B00C-0H-1,B00I-0L-1,60.5753
B00C-0H-2,B00I-0M-1,66.4933
B00C-0H-2,B00I-0M-2,73.9933
B00C-0H-1,B00I-0M-2,66.4933
B00C-0H-1,B00I-0M-1,58.9933
B00C-0H-2,B00I-0N-1,66.128
B00C-0H-2,B00I-0N-2,73.628
B00C-0H-1,B00I-0N-2,66.128
B00C-0H-1,B00I-0N-1,58.628
B00C-0H-2,B00I-0O-1,64.6553
B00C-0H-2,B00I-0O-2,72.1553
B00C-0H-1,B00I-0O-2,64.6553
B00C-0H-1,B00I-0O-1,57.1553
B00C-0H-2,B00I-0P-1,63.9978
B00C-0H-2,B00I-0P-2,71.4978
B00C-0H-1,B00I-0P-2,63.9978
B00C-0H-1,B00I-0P-1,56.4978
B00C-0H-2,B00I-0Q-1,62.8184
B00C-0H-2,B00I-0Q-2,70.3184
B00C-0H-1,B00I-0Q-2,62.8184
B00C-0H-1,B00I-0Q-1,55.3184
B00C-0H-2,B00I-0R-1,62.1026
