position_type,position_code,position_x,position_y
recheckstage,A2FH001,83.7166,97.2727
recheckstage,A2FH0010,84.6949,77.5459
recheckstage,A2FH0011,84.8933,74.4494
recheckstage,A2FH0012,84.9348,72.851
recheckstage,A2FH0013,84.9387,69.8431
recheckstage,A2FH0014,84.9315,68.2475
recheckstage,A2FH0015,85.1262,65.8004
recheckstage,A2FH0016,91.4949,66.185
recheckstage,A2FH0017,91.0761,68.3816
recheckstage,A2FH0018,91.1021,69.9947
recheckstage,A2FH0019,90.7327,73.0853
recheckstage,A2FH002,83.6922,95.4453
recheckstage,A2FH003,83.8666,92.8242
recheckstage,A2FH0030,89.4245,97.303
recheckstage,A2FH004,83.8753,91.4635
recheckstage,A2FH005,84.0494,88.1177
recheckstage,A2FH006,84.1487,86.6612
recheckstage,A2FH007,84.4716,83.4839
recheckstage,A2FH008,84.4224,81.898
recheckstage,A2FH009,84.6387,79.0073
recheckstage,A2FH020,90.6873,74.7043
recheckstage,A2FH021,90.5048,78.0885
recheckstage,A2FH022,90.5298,79.5241
recheckstage,A2FH023,90.3217,82.3293
recheckstage,A2FH024,90.159,83.7935
recheckstage,A2FH025,89.8787,86.3684
recheckstage,A2FH026,89.8348,88.1114
recheckstage,A2FH027,89.6274,91.3228
recheckstage,A2FH028,89.6765,92.5296
recheckstage,A2FH029,89.4223,95.7572
roadway,B001-0B-1,101.845,91.7952
roadway,B001-0B-2,102.244,80.1147
roadway,B001-0D-1,103.816,91.4177
roadway,B001-0D-2,104.332,79.9955
roadway,B001-0F-1,105.799,91.419
roadway,B001-0F-2,106.366,80.5345
roadway,B001-0H-1,107.666,91.543
roadway,B001-0H-2,108.422,80.3158
roadway,B001-0J-1,110.038,91.4363
roadway,B001-0J-2,110.557,80.2831
roadway,B001-0L-1,112.18,91.5967
roadway,B001-0L-2,112.623,80.2859
roadway,B001-0N-1,114.139,91.7834
roadway,B001-0N-2,114.563,80.5473
roadway,B001-0P-1,116.158,92.0258
roadway,B001-0P-2,116.642,80.4216
roadway,B001-0R-1,118.267,92.0242
roadway,B001-0R-2,118.676,80.3823
roadway,B002-01-1,154.728,98.1393
roadway,B002-01-2,154.521,104.364
roadway,B002-02-1,155.081,94.6605
roadway,B002-02-2,155.489,89.1721
roadway,B002-0A-1,130.922,97.0714
roadway,B002-0A-2,130.534,103.7
roadway,B002-0B-1,131.314,93.1542
roadway,B002-0B-2,131.465,87.691
roadway,B002-0C-1,132.724,96.9769
roadway,B002-0C-2,132.386,103.942
roadway,B002-0D-1,133.211,93.2739
roadway,B002-0D-2,133.453,87.5925
roadway,B002-0E-1,134.524,97.3868
roadway,B002-0E-2,134.231,104.143
roadway,B002-0F-1,135.056,93.1838
roadway,B002-0F-2,135.3,87.6902
roadway,B002-0G-1,136.423,97.2066
roadway,B002-0G-2,136.13,103.979
roadway,B002-0H-1,136.765,93.5846
roadway,B002-0H-2,136.961,87.9043
roadway,B002-0I-1,138.186,97.0522
roadway,B002-0I-2,137.941,103.789
roadway,B002-0J-1,138.53,93.7664
roadway,B002-0J-2,138.873,88.1979
roadway,B002-0K-1,140.006,97.1658
roadway,B002-0K-2,139.956,103.893
